"IDENTITY_NAME","LAST_PLAN_NAME","CHURNED","HAS_BEEN_ADOPTED","LIFETIME","BILLING_CYCLE_FIXED","APPOINTMENTS_PER_WEEK","PAYMENTS_PER_WEEK","DIRECTORY_TYPE"
Coaching & Consulting,vCita Business (Monthly),0,1,873,Monthly,0.242841,1.312,Direct
Animal Services,vCita Online Scheduling (Monthly),1,0,2205,Monthly,0.036281,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Annual),1,1,1529,Annual,0.419228,0,Direct
Government & Non-profit,vCita Business (Monthly),1,1,742,Monthly,0.022911,4.8,Direct
Government & Non-profit,vCita Essentials (Monthly),1,0,1402,Monthly,0.000000,0,Direct
Legal Services,vCita Online Scheduling (Annual),1,0,2560,Annual,0.002734,0,Direct
Coaching & Consulting,vCita Business (Monthly),1,1,869,Monthly,0.225547,87.328,Reseller
"Home & Garden Work, Cleaning & Repair",vCita Business (Annual),0,0,2000,Annual,0.022000,0,Direct
Legal Services,vCita Essentials (Annual),1,0,676,Annual,0.000000,0,Direct
Business Services,vCita Essentials (Annual),0,0,745,Annual,0.001342,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Monthly),0,0,455,Monthly,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Online Payments (Monthly),1,1,1855,Monthly,0.000000,5.927,Direct
Legal Services,vCita Online Scheduling (Annual),1,0,2253,Annual,0.015535,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Annual),1,0,1225,Annual,0.275918,0.145,Direct
Healthcare & Medical,vCita Business (Annual),0,1,730,Annual,1.584932,0,Direct
Business Services,vCita Online Scheduling (Annual),1,0,2696,Annual,0.008902,0.012,Direct
"Education, Instruction & Tutoring",vCita Business (Annual),1,0,1406,Annual,0.011380,0,Direct
Auto Services,vCita Essentials (Annual),0,0,408,Annual,0.000000,0,Direct
Business Services,Obs. vCita Essentials (Annual),0,0,1841,Annual,0.117871,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Monthly),1,1,2376,Monthly,0.034091,0,Reseller
"Education, Instruction & Tutoring",vCita Platinum 10 (Monthly),1,1,1790,Monthly,1.983799,114.693,Direct
Business Services,vCita Essentials (Annual),0,0,409,Annual,0.264059,0,Direct
Government & Non-profit,vCita Online Payments (Annual),0,0,785,Annual,0.000000,0,Direct
Business Services,vCita Essentials (Monthly),1,0,2695,Monthly,0.003340,0,Reseller
"Education, Instruction & Tutoring",vCita Online Scheduling (Annual),1,1,924,Annual,0.086580,0,Direct
"Education, Instruction & Tutoring",vCita Platinum 10 (Annual),1,1,1441,Annual,0.198473,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),0,0,2261,Annual,0.007077,0,Direct
Business Services,Obs. vCita Essentials (Annual),1,0,1400,Annual,0.137857,3.928,Reseller
Government & Non-profit,vCita Online Scheduling (Annual),1,0,1426,Annual,0.046985,0,Direct
Business Services,vCita Business (Annual),0,0,1475,Annual,0.000000,0,Reseller
Healthcare & Medical,vCita Platinum (Annual),1,0,930,Annual,0.000000,0,Reseller
Counseling & Mental Health,vCita Online Scheduling (Monthly),0,0,304,Monthly,0.046053,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Online Scheduling (Annual),1,0,801,Annual,0.024969,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Annual),0,1,942,Annual,0.006369,0.187,Direct
Financial Services,vCita Online Scheduling (Monthly),1,0,1616,Monthly,0.120050,0,Direct
